GE;PE;CL;AV;planta;nota;Y
IAC;tangerina_cleopatra;20;4;7;1;0,048
IAC;tangerina_cleopatra;20;4;8;0;0
IAC;tangerina_cleopatra;20;4;9;0,4;0,021
IAC;tangerina_cleopatra;20;4;10;0,5;0,048
IAC;tangerina_cleopatra;20;5;1;0;0
IAC;tangerina_cleopatra;20;5;2;0,5;0,125
IAC;tangerina_cleopatra;20;5;3;0;0
IAC;tangerina_cleopatra;20;5;4;0;0
IAC;tangerina_cleopatra;20;5;5;0;0
IAC;tangerina_cleopatra;20;5;6;0;0
IAC;tangerina_cleopatra;20;5;7;0;0
IAC;tangerina_cleopatra;20;5;8;0;0
IAC;tangerina_cleopatra;20;5;9;0,2;0,033
IAC;tangerina_cleopatra;20;5;10;0;0
IAC;tangerina_cleopatra;20;6;1;0,2;0,095
IAC;tangerina_cleopatra;20;6;2;0;0
IAC;tangerina_cleopatra;20;6;3;0,2;0,029
IAC;tangerina_cleopatra;20;6;4;0;0
IAC;tangerina_cleopatra;20;6;5;0,2;0,05
IAC;tangerina_cleopatra;20;6;6;0,1;0,026
IAC;tangerina_cleopatra;20;6;7;0;0
IAC;tangerina_cleopatra;20;6;8;0;0
IAC;tangerina_cleopatra;20;6;9;0;0
IAC;tangerina_cleopatra;20;6;10;0;0
Bianchi;tangerina_cleopatra;21;2;1;0;0
Bianchi;tangerina_cleopatra;21;2;2;0;0
Bianchi;tangerina_cleopatra;21;2;3;0;0
Bianchi;tangerina_cleopatra;21;2;4;0;0
Bianchi;tangerina_cleopatra;21;2;5;0,5;0,143
Bianchi;tangerina_cleopatra;21;2;6;0;0
Bianchi;tangerina_cleopatra;21;2;7;0;0
Bianchi;tangerina_cleopatra;21;2;8;1;0,158
Bianchi;tangerina_cleopatra;21;2;9;0;0
Bianchi;tangerina_cleopatra;21;2;10;0;0
Bianchi;tangerina_cleopatra;21;3;1;0;0
Bianchi;tangerina_cleopatra;21;3;2;0;0
Bianchi;tangerina_cleopatra;21;3;3;0,1;0,029
Bianchi;tangerina_cleopatra;21;3;4;0;0
Bianchi;tangerina_cleopatra;21;3;5;0;0
Bianchi;tangerina_cleopatra;21;3;6;2;0,213
Bianchi;tangerina_cleopatra;21;3;7;0,1;0,024
Bianchi;tangerina_cleopatra;21;3;8;0;0
Bianchi;tangerina_cleopatra;21;3;9;3,5;0,211
Bianchi;tangerina_cleopatra;21;3;10;0;0
Bianchi;tangerina_cleopatra;21;4;1;0;0
Bianchi;tangerina_cleopatra;21;4;2;0;0
Bianchi;tangerina_cleopatra;21;4;3;0;0
Bianchi;tangerina_cleopatra;21;4;4;0;0
Bianchi;tangerina_cleopatra;21;4;5;0,2;0,039
Bianchi;tangerina_cleopatra;21;4;6;0;0
Bianchi;tangerina_cleopatra;21;4;7;0;0
Bianchi;tangerina_cleopatra;21;4;8;0,2;0,071
Bianchi;tangerina_cleopatra;21;4;9;0;0
Bianchi;tangerina_cleopatra;21;4;10;0;0
Bianchi;tangerina_cleopatra;21;5;1;0;0
Bianchi;tangerina_cleopatra;21;5;2;0;0
Bianchi;tangerina_cleopatra;21;5;3;0,5;0,07
Bianchi;tangerina_cleopatra;21;5;4;0;0
Bianchi;tangerina_cleopatra;21;5;5;0,5;0,043
Bianchi;tangerina_cleopatra;21;5;6;0;0
Bianchi;tangerina_cleopatra;21;5;7;0;0
Bianchi;tangerina_cleopatra;21;5;8;0;0
Bianchi;tangerina_cleopatra;21;5;9;0,5;0,116
Bianchi;tangerina_cleopatra;21;5;10;0,5;0,097
Bianchi;tangerina_cleopatra;21;6;1;0;0
Bianchi;tangerina_cleopatra;21;6;2;0,5;0,08
Bianchi;tangerina_cleopatra;21;6;3;0,5;0,135
Bianchi;tangerina_cleopatra;21;6;4;0;0
Bianchi;tangerina_cleopatra;21;6;5;0,5;0,116
Bianchi;tangerina_cleopatra;21;6;6;0;0
